"species_ID","L2_deciduous","L1_deciduous","B_deciduous","L2_evergreen","L1_evergreen","B_evergreen"
"Artocarpus chaplasha",0,0.06,0.08,1.43,1.36,1.33
"Cleidion nitidum",0.25,0.89,2.25,0,0,0
"Dillenia andamanica",0.92,0.33,0.83,0.29,0.55,0.17
"Diospyros oocarpa",2.25,1.89,2,0.14,0.18,0
"Diospyros pilosiuscula",1.58,1,2.08,0.57,0.09,0
"Diospyros pyrrhocarpa",0.92,0.28,0.83,1.29,0.55,0.33
"Dipterocarpus sp",0.08,0,0.08,9,7.91,6.08
"Drypetes longifolia",0.08,0,0,2.71,0.45,2
"Drypetes small",0.25,0,1.42,0,0,0
"Knema andamanica",0,0,0,4,3.09,4.58
"Lagerstroemia hypoleuca",6,2.72,1.17,1.14,1.91,0.58
"Lannea coromandelica",1.08,0.06,0.5,0,0.18,0.33
"Miliusa horsfieldii",0.25,3,0.08,0,0.82,0.08
"Neonauclea gagaena",1.08,0.44,0.08,0.14,0.27,0
"Parishia insignis",0.25,0,0.08,3.43,1.55,1.75
"Planchonia andamanica",0,0.06,0,1.29,1.45,1.17
"Pometia pinnata",0,0,0.08,3.14,1.45,1.33
"Pterocarpus dalbergioides",2.42,3.94,4.33,1.14,1.64,1.33
"Pterocymbium tinctorium",0.58,1.5,1.08,0.86,0.64,1.67
"Sageraea elliptica",1.25,1.5,1,0.29,0.91,0
"Suregada multiflora",0.17,2.89,0.08,0.29,1.27,0
"Terminalia bialata",0.67,2.28,1.67,0,0.09,0.25
"Terminalia procera",0.67,1.78,1.42,1,3.18,1
"Tetrameles nudiflora",0.42,0.83,1.33,0.43,1.55,0.33
