speciesID,"L2(D,a)","L1(D,a)","B(D,a)","L2(E,a)","L1(E,a)","B(E,a)"
Artocarpus chaplasha,0,0.06,0.08,1.43,1.36,1.33
Dillenia andamanica,0.92,0.33,0.83,0.29,0.55,0.17
Diospyros oocarpa,2.25,1.89,2,0.14,0.18,0
Diospyros pilosiuscula,1.58,1,2.08,0.57,0.09,0
Drypetes small,0.25,0,1.42,0,0,0
Lannea coromandelica,1.08,0.06,0.5,0,0.18,0.33
Miliusa horsfieldii,0.25,3,0.08,0,0.82,0.08
Neonauclea gagaena,1.08,0.44,0.08,0.14,0.27,0
Parishia insignis,0.25,0,0.08,3.43,1.55,1.75
Planchonia andamanica,0,0.06,0,1.29,1.45,1.17
Pometia pinnata,0,0,0.08,3.14,1.45,1.33
Pterocarpus dalbergioides,2.42,3.94,4.33,1.14,1.64,1.33
Pterocymbium tinctorium,0.58,1.5,1.08,0.86,0.64,1.67
Terminalia bialata,0.67,2.28,1.67,0,0.09,0.25
Terminalia procera,0.67,1.78,1.42,1,3.18,1
Tetrameles nudiflora,0.42,0.83,1.33,0.43,1.55,0.33
