plotID,forest_type,latitude,longitude,elevSRTM30_m,slopeSRTM30_degree,distanceNearestNeighbour_m,LoggingTreatment,distSettlement_m,temperatureBIOCLIM_degC,rainfallBIOCLIM_mmPerYr
MAT1C6P07,deciduous,12.374157,92.836583,70,8.607882785,484.386929,L1,2021.942718,26.64999962,3016
MAT1C6P06,deciduous,12.369223,92.834489,66,2.257491456,584.0210248,L1,1795.935692,26.64999962,3016
MAT1C6P05,deciduous,12.366485,92.828626,54,6.966054841,484.386929,L1,1257.994745,26.64583397,2998
MAT2C2P05,deciduous,12.351471,92.811633,73,5.240505845,615.1171634,L1,1290.226028,26.57916641,2987
MAT2C4P01,deciduous,12.356023,92.815279,66,4.630201455,506.6957977,L1,1688.453073,26.57916641,2987
MAT2C2P07,deciduous,12.351474,92.824508,80,9.180174528,687.1754773,L1,825.8675079,26.60416603,2991
MAT2C2P01,evergreen,12.346237,92.828772,36,6.012380679,1113.23228,L1,112.4645233,26.74583244,2970
MAT2C2P08,deciduous,12.340271,92.834358,32,5.325250022,649.6736433,L1,397.7998725,26.76666641,2977
MAT2C2P02,evergreen,12.342644,92.821783,38,2.60734493,788.6638196,L1,433.5073334,26.65416718,2985
MAT2C2P09,evergreen,12.341833,92.826238,43,13.13052867,808.666333,L1,19.13055722,26.74583244,2970
MAT1C5P01,deciduous,12.36066,92.795109,79,4.415957728,546.5677977,L1,875.7235735,26.48749924,2986
BAT3P12,evergreen,12.309254,92.805844,49,7.659290969,566.0705014,B,773.7610989,NA,NA
MAT2C4P03,evergreen,12.354192,92.831054,116,4.805087874,858.0934335,L1,1010.500484,26.55416679,3014
BAT3P10,evergreen,12.26863,92.751402,33,3.720587777,633.2363873,B,1931.888082,26.80416679,2855
BAT3P11,evergreen,12.264541,92.750103,31,8.523583958,560.4269121,B,1879.567865,26.78333282,2863
BAT3P09,evergreen,12.278418,92.745571,0,14.37374496,333.5035679,B,3090.178312,26.88750076,2838
BAT3P08,evergreen,12.283725,92.746394,0,11.84431085,508.0988697,B,3452.563354,NA,NA
BAT3P01,evergreen,12.303192,92.78454,28,4.944941712,512.7012928,B,1280.373631,26.75833321,2914
BAT3P04,deciduous,12.296465,92.784384,49,8.567281781,525.2833239,B,2021.981837,26.65833282,2933
BAT2P01,evergreen,12.258985,92.784437,45,17.1941636,303.2553349,B,0,26.76250076,2893
BAT2P12,evergreen,12.263316,92.78262,74,21.3128846,525.2833239,B,141.098179,26.68333435,2906
BAT1P27,evergreen,12.150783,92.791528,79,5.394244966,518.0907218,L2,236.8198708,26.47083282,2894
BANL0303,evergreen,12.152287,92.785465,66,7.190553611,522.1705383,L2,501.3608632,26.47083282,2894
BANL0302,evergreen,12.155256,92.788631,105,4.458342758,591.1908645,L2,385.0467383,26.47083282,2894
BAT1P26,evergreen,12.148254,92.79045,123,10.4151001,566.0705014,L2,481.3582854,26.54583359,2875
BAT1P25,evergreen,12.149148,92.796084,63,4.209460977,560.4269121,L2,0,26.57916641,2884
BAT1P28,evergreen,12.152349,92.793972,60,12.43467468,333.5035679,L2,20.45407146,26.70000076,2857
BAT1P23,deciduous,12.201872,92.79345,65,4.996259873,593.6402906,L2,970.6195356,26.52916718,2920
BAT2P09,evergreen,12.279331,92.819507,43,12.88380722,408.024139,B,2286.514387,26.625,2960
BANLR0504,deciduous,12.215922,92.803134,45,2.095468271,506.6957977,L2,2129.812338,26.66666603,2897
BAT1P17,deciduous,12.217323,92.798043,44,6.147427513,788.6638196,L2,2255.153144,26.55833244,2920
BAT1P19,deciduous,12.212085,92.795704,71,4.638730077,772.5208627,L2,2028.73061,26.56666565,2917
BAT1P20,deciduous,12.206965,92.791613,95,4.285297577,473.7207236,L2,1414.602195,26.49166679,2919
BAT1P21,deciduous,12.203482,92.79787,77,3.939505206,473.7207236,L2,1344.330947,26.52916718,2920
BAT1P22,deciduous,12.20276,92.803452,79,3.935169443,593.6402906,L2,1605.476328,26.5625,2916
BANL0501,deciduous,12.208134,92.800051,59,7.693783896,602.1373231,L2,1908.86589,26.5625,2916
BAT1P18,deciduous,12.214094,92.791328,97,3.670477497,1209.554452,L2,1526.188159,26.42499924,2939
BAT1P16,deciduous,12.219395,92.804401,72,0.598892206,492.5817291,L2,1855.664737,26.57916641,2916
BAT1P12,deciduous,12.223532,92.817307,60,12.45581454,559.5235707,L2,379.22704,26.73749924,2902
BAT1P10,evergreen,12.225394,92.812617,60,8.401566727,741.8033502,L2,872.2526543,26.62916565,2914
BAT1P15,evergreen,12.232021,92.811605,41,6.529170169,492.5817291,L2,1246.073295,26.62916565,2914
BAT2P13,evergreen,12.263705,92.779579,19,7.672710213,597.5848463,B,306.9065661,26.68333435,2906
BAT3P03,deciduous,12.305484,92.77562,35,7.453506406,566.4901879,B,1520.006562,26.76250076,2905
BAT3P02,deciduous,12.307066,92.781217,39,11.28824251,612.4226588,B,990.2090291,26.76250076,2905
BAT3P05,deciduous,12.29372,92.788778,34,9.681873958,408.024139,B,2325.562247,26.65833282,2933
BAT3P07,deciduous,12.284975,92.792038,26,5.121223313,550.1117933,B,1749.192012,26.73333359,2920
BAT3P06,deciduous,12.287669,92.787824,35,6.736004851,550.1117933,B,2136.537313,26.77916718,2907
BAT2P06,evergreen,12.289175,92.821655,114,3.121832761,317.3200464,B,1586.620034,26.48333359,2999
BAT2P04,deciduous,12.282871,92.811306,94,10.72702774,303.2553349,B,2297.178202,26.57500076,2960
BAT2P11,evergreen,12.281251,92.833153,22,1.806699058,575.021341,B,1180.175528,26.64583397,2962
BAT1P14,evergreen,12.23144,92.816239,36,6.845387087,896.6967485,L2,850.127734,26.62916565,2914
BAT2P02,deciduous,12.274208,92.802008,89,8.17752082,475.8540169,B,904.7451265,26.53750038,2957
BAT2P05,deciduous,12.284721,92.816782,68,10.97354573,422.0100745,B,2240.687143,26.48333359,2999
BAT2P07,deciduous,12.2752,92.809638,41,3.593116234,512.7012928,B,1646.022717,26.57500076,2960
BAT2P08,deciduous,12.275935,92.815394,50,3.92538573,584.0210248,B,2249.549275,26.57500076,2960
BAT2P03,deciduous,12.278354,92.806547,94,1.706152555,475.8540169,B,1577.947963,26.58333397,2954
MAT1C5P06,evergreen,12.377863,92.769023,37,12.62528937,629.6448206,L1,1050.099831,26.66250038,2920
MAT1C5P02,evergreen,12.377049,92.774763,67,3.072985485,723.45179,L1,616.8915025,26.66250038,2920
MAT1C502JR,deciduous,12.36819,92.779627,68,5.027093035,546.5677977,L1,388.1420809,26.57083321,2953
MAT1C6P01,evergreen,12.363402,92.801806,47,6.182119493,1499.056786,L1,1549.834054,26.57500076,2979
MAT1C6P08,deciduous,12.371007,92.842008,59,9.176811919,630.4322839,L1,2332.743008,26.74583435,3010
MAT2C2P06,deciduous,12.350371,92.817698,68,10.4513498,708.6628096,L1,1151.554838,26.60416603,2991
MAT2C3P03,deciduous,12.338304,92.818244,67,7.141536625,630.5158839,L1,727.630902,26.68333435,2978
MAT2C2P03,deciduous,12.344067,92.815393,83,1.701712274,684.928709,L1,1084.427838,26.55833244,2992
MAT2C3P01,evergreen,12.337228,92.812019,58,8.516961461,559.7160543,L1,718.9577169,26.56666565,2993
MAT1C6P03,deciduous,12.363246,92.817816,35,4.671216881,673.6759668,L1,878.4595691,26.72916603,2968
MAT1C6P02,evergreen,12.36549,92.808935,42,3.054690544,508.0988697,L1,863.6239905,26.62916756,2975
MAT2C4P02,deciduous,12.361772,92.832538,76,10.01592349,711.5143218,L1,1864.091733,26.64583397,2998
