species_ID,phenology_fromParkinson_fromfieldExpIfNotInParkinson,phenologyFIN,code_new,id_level_correct,Family,habit,commercial
Actephila excelsa,Etmp,E,actexc,S,Euphorbioaceae,treelet,N
Adenanthera pavonina,Dfin,D,adepav,S,Mimosaceae,tree,Y
Aglaia andamanica,Etmp,E,agland,S,Meliaceae,tree,N
Aidia cochinchinensis,Dtmp,D,aidcoc,S,Rubiaceae,tree,N
Aidia densiflora,Etmp,E,aidden,S,Rubiaceae,tree,N
Aidia sp3,Etmp,E,aidsp3,S,Rubiaceae,tree,N
Ailanthus kurzii,Dfin,D,ailkur,S,Simaroubaceae,tree,N
Albizia chinensis,Dfin,D,albchi,S,Meliaceae,tree,Y
Albizia lebbeck,Dfin,D,albleb,S,Meliaceae,tree,N
Alstonia kurzii,Efin,E,alskur,S,Apocynaceae,tree,N
Anacardiaceae sp,NA,E,anasp,F,Anacardiaceae,tree,N
Antiaris toxicaria,Dfin,D,anttox,S,Moraceae,tree,N
Antidesma sp,Dtmp,D,antsp,G,Phyllanthaceae,tree,N
Aphanamixis polystachya,Efin,E,aphpol,S,Meliaceae,tree,Y
Aporosa sp1,Etmp,E,aposp1,S,Euphorbioaceae,tree,N
Aporosa sp2,Etmp,E,aposp2,S,Euphorbioaceae,tree,N
Aporosa sp3,Etmp,E,aposp3,S,Euphorbioaceae,tree,N
Archidendron sp,Etmp,E,arcsp,G,Mimosaceae,tree,N
Areca triandra,Efin,E,aretri,S,Arecaceae,monocot,N
Artocarpus chaplasha,Dfin,D,artcha,S,Moraceae,tree,Y
Artocarpus gomezianus,Efin,E,artgom,S,Moraceae,tree,YNC
Artocarpus lakoocha,Dfin,D,artlak,S,Moraceae,tree,YNC
Atalantia sp,Efin,E,atasp1,S,Rutaceae,tree,N
Baccaurea sapida,Efin,E,bacsap,S,Euphorbioaceae,tree,N
Blumeodendron kurzii,Efin,E,blokur,S,Euphorbioaceae,tree,N
Bombax insigne,Dfin,D,bomins,S,Bombacaceae,tree,Y
Bouea oppositifolia,Efin,E,bouopp,S,Anacardiaceae,tree,N
Buchanania platyneura,Etmp,E,bucpla,S,Anacardiaceae,tree,Y
Calamus andamanicus,Efin,E,caland,S,Arecaceae,monocot,N
Calamus longisetus,Efin,E,callon,S,Arecaceae,monocot,N
